instrument_id,target_symbol,conflict_id
1008,AA,2000
1029,PG,2223
1035,WMT,1052273
1038,HMC,9026
1045,TM,1052299
1050,CL,5952
1055,CHL,1473
1072,AMR,10610
1089,IEI,2193
1121,RL,10103
1124,EA,3473
1140,CAR,10272
1151,CR,4040
1165,SMG,1052136
1169,WP,9987
1198,NATL,6791
1219,DB1.DE,1995
1233,AI.PA,1026523
1239,CA.PA,5013
1241,CS.PA,1239
1245,EN.PA,5018
1308,US.MI,1061628
1427,EWA,12893
1451,AAL,6604
1482,PM,4122
1486,SHEL,276664
1491,TTM,10882
1493,UPS,10378
1507,AIG,1049141
1522,HCA,12773
1526,DE,3388
1531,HAL,10535
1534,GD,12209
1570,CMI,6210
1571,IEP,3639
1575,HIG,1051318
1595,AEP,1051899
1599,JBL,15231
1600,PNC,7957
1606,PPG,3524
1648,ADP,12192
1664,SRE,11403
1665,EL,2641
1666,RGA,12819
1675,RS,12892
1682,GPI,4310
1684,AAP,2120
1691,PCP,2700
1708,AVP,12124
1726,ACM,15509
1732,UGI,4037
1742,WCC,1922
1746,TA,2163
1748,ES,3512
1761,FL,5636
1765,HII,10122
1778,BPL,11156
1805,LH,8106
1817,NWL,7911
1832,AMD,5145
1857,NTI,9058
1860,COL,2714
1867,SON,4534
1869,TDS,12747
1870,WEC,12151
1882,BMS,11194
1888,FTR,10852
1954,GL,4066
1978,RMS.PA,13077
2017,BHP.L,11774
2019,BP.L,11386
2080,SHP.L,11725
2099,WPP.L,11576
2167,AML.L,11322
2171,SHEL.L,1486
2193,ICE,3394
2293,DCP,11826
2585,NDA.DE,3684
2638,SIG.L,11405
2665,LMP.L,11636
2727,TEP.L,11561
2766,CSP.L,11687
2840,PHP.L,11685
3007,USO,15635
3027,SSO,1019898
3101,IEF,10640
3105,UGA,8675
3140,AGG,15375
3224,SDS,9733
3245,USL,10053
3253,VO,13862
3352,PL,9134
3416,EWI,5635
3569,IPS.PA,13099
3583,LSS.PA,13105
3643,MEGP.L,11690
3675,DMP.DE,12364
4163,TDG,10389
4185,WFT,1049329
4211,MMI,6790
4224,IG.MI,5722
4235,BHP,11618
4237,VTI,6248
4240,RIO,1014386
4241,LIN,4275
4248,VEA,12759
4270,PSA,12899
4293,RCL,1052598
4397,ON,4529
4407,BIL,12211
4430,SLV,834108
5032,OPM.PA,13263
5977,ESS,11222
5979,AEO,14231
6011,OHI,6260
6081,VAC,1052634
6122,SBS,11745
6125,SUM,10650
6197,PR,1059212
6328,EH,11237
6334,FCEL,1050709
6403,CIH,1051531
6577,AAT,9231
6582,AEM,1052766
6590,AM,8808
6591,AMC,6590
6610,BCS,10408
6617,BIP,11710
6652,CO,13873
6679,EGO,13888
6713,GEO,12954
6749,INN,8102
6760,KL,9454
6773,MAC,1060185
6858,SRC,9636
6885,UMC,8781
6887,USAC,14438
6898,WES,15486
6901,WMC,15561
7698,CNI,10358
7923,RGR,15625
7962,AAN,12648
7977,FNA,1051368
8607,ICL,1051377
8678,SAP,2638
8937,AWI,8986
8994,AGO,13906
9054,GBT,9240
9097,AMN,10607
9226,JBI,10261
9499,AIT,1052106
9516,HCC,10139
9751,DEA,10000
9783,SFL,1051432
9790,NAPA,12935
9798,CNS,1052266
9838,AGM,14249
9987,WPP,2099
10048,HSAI,11065
10131,CASS,12743
10362,FLL,12837
10390,AMK,15339
10481,ODC,1049722
10512,SCM,13645
10527,MEC,1048393
10763,VRE,10853
10831,DGS,12658
11231,FP.L,11410
11357,AMP.L,11899
11392,ACP.L,11921
11396,PPH.L,11661
11413,SML.L,11434
11757,PMP.L,12067
12302,ETG.DE,12573
13573,FPS,11231
13594,WBI,1047936
14646,7203.T,1045
15225,HG,10048
1049554,ITP,1050662
1049804,AEHL,1050023
1050611,GDC,1534
1052254,BCG,1061040
1061302,MN.MI,1061662
1061358,BSS.MI,1061405
